::ffff:127.0.0.1 - - [20/Sep/2020:02:17:48 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:23:47 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:23:51 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:23:52 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:04 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:26 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:30 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:34 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:37 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:44 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:48 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:24:51 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:25:06 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:25:08 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:25:10 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:25:16 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:25:19 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
::ffff:127.0.0.1 - - [20/Sep/2020:02:27:15 +0000] "GET /baby/get?babyId=1 HTTP/1.1" 304 - "http://192.168.31.132:6006/" "Mozilla/5.0 (Linux; Android 8.0.0; Pixel 2 XL Build/OPD1.170816.004) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Mobile Safari/537.36"
